Inputs, Weights, Type, Latency, Throughput, Area, Power, Multipliers
1024x4, 4x8, float, 2070, 31.66, 0.201863, 58.2, 16
1024x4, 4x16, float, 4118, 31.83, 0.202581, 58.3, 16
1024x8, 8x8, float, 4138, 31.68, 0.264137, 74.0, 16
1024x8, 8x16, float, 8234, 31.84, 0.265073, 74.6, 16
1024x16, 16x8, float, 8274, 31.68, 0.402904, 107.0, 16
1024x16, 16x16, float, 16466, 31.84, 0.405397, 108.0, 16
