Inputs, Weights, Type, Latency, Throughput, Area, Power, Multipliers
1024x16, 16x16, float, 262226, 2.00, 0.121619, 32.4, 1
1024x16, 16x16, float, 131154, 4.00, 0.141889, 37.8, 2
1024x16, 16x16, float, 65618, 7.99, 0.182429, 48.6, 4
1024x16, 16x16, float, 32850, 15.96, 0.243238, 64.8, 8
1024x16, 16x16, float, 16466, 31.84, 0.405397, 108.0, 16
1024x16, 16x16, float, 8274, 63.37, 0.932413, 248.4, 32
1024x16, 16x16, float, 4178, 125.49, 1.905366, 507.6, 64
